epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1916.07,1.63926,2.10645,1.71201,0.09029,0.39801,0.09688,0.03609,1.92106,16.6113,2.42911,0.000651852,0.000651852,0.000651852
2,3727.79,1.86908,2.1159,1.8523,0.01734,0.01493,0.00237,0.00062,3.97238,67.3076,32.9382,0.00118799,0.00118799,0.00118799
